file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,47,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,17
static\style.css,48,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,49,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,50,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,46
static\style.css,51,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,4
static\style.css,52,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,51
static\style.css,53,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
static\style.css,54,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,56
static\style.css,55,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,24
static\style.css,56,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,57,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,40
static\style.css,58,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,59,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
static\style.css,60,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,42
static\style.css,61,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,16
static\style.css,62,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,6
static\style.css,63,css,0e4f03f8,estymagb,2026-03-12,04:03:50,-04:00,2026-03-12T04:03:50-04:00,0,11
static\style.css,64,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,65,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,66,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,67,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,58
static\style.css,68,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,6
static\style.css,69,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,63
static\style.css,70,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,74
static\style.css,71,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,72,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,18
static\style.css,73,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,74,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
static\style.css,75,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,76,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,77,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,14
static\style.css,78,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,79,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,80,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,25
static\style.css,81,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,82,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,83,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,84
static\style.css,84,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,85,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,38
static\style.css,86,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,87,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,12
static\style.css,88,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,89,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,90,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,40
static\style.css,91,css,610df583,estymagb,2026-03-05,10:42:19,-05:00,2026-03-05T10:42:19-05:00,0,70
static\style.css,92,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,93,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,94,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,8
static\style.css,95,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,21
static\style.css,96,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,97,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,98,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,33
static\style.css,99,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,100,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,35
static\style.css,101,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,89
static\style.css,102,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,5
static\style.css,103,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,8
static\style.css,104,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,7
static\style.css,105,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,71
static\style.css,106,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,107,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,108,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,30
static\style.css,109,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,110,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,97
static\style.css,111,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,13
static\style.css,112,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,11
static\style.css,113,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,22
static\style.css,114,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,115,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,116,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,54
static\style.css,117,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,20
static\style.css,118,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,119,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,120,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,26
static\style.css,121,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,122,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,123,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,31
static\style.css,124,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,81
static\style.css,125,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,1
static\style.css,126,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,5
static\style.css,127,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,13
static\style.css,128,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,31
static\style.css,129,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,8
static\style.css,130,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,131,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,0
static\style.css,132,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,6
static\style.css,133,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,13
static\style.css,134,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,30
static\style.css,135,css,ab875f77,estymagb,2026-02-24,00:24:38,-05:00,2026-02-24T00:24:38-05:00,0,19
